ν	LD-Alanina Magnetizada Irradiada Petri	LD-Alanina Magnetizada  Eppendorf	LD-Alanina Irradiada Magnetizada Eppendorf	LD-Alanina  Magnetizada Petri	L-Alanina Magnetizada Petri	L-Alanina Magnetizada Irradiada Petri	L-Alanina Magnetizada Eppendorf	L-Alanina Irradiada  Magnetizada Eppendorf	D-Alanina Magnetizada Irradiada Petri	D-Alanina Magnetizada Eppendorf	D-Alanina Irradiada Magnetizada Eppendorf	D-Alanina  Magnetizada Petri
4000.0	97.297123	97.897695	97.886362	97.574071	98.028784	98.110853	98.393303	98.334007	98.567855	98.148994	98.550413	97.601493
3999.0	97.296259	97.897299	97.883691	97.571765	98.042392	98.108354	98.390635	98.330237	98.562149	98.146843	98.54961	97.587249
3998.0	97.292809	97.896926	97.878162	97.580255	98.053009	98.105029	98.38798	98.329317	98.553398	98.145854	98.550155	97.577714
3997.0	97.290313	97.896602	97.874121	97.598609	98.059642	98.104588	98.385284	98.334368	98.548684	98.14907	98.55471	97.574247
3996.0	97.290602	97.898582	97.8875	97.619458	98.0638	98.107548	98.38884	98.344301	98.550744	98.152702	98.562372	97.578491
3995.0	97.294149	97.905505	97.894477	97.634678	98.069612	98.112841	98.396834	98.355201	98.558951	98.160412	98.570821	97.588548
3994.0	97.301238	97.917721	97.90305	97.619071	98.080915	98.120295	98.406501	98.369354	98.571426	98.167442	98.577427	97.600752
3993.0	97.311883	97.932923	97.910188	97.62401	98.09854	98.13001	98.415978	98.374262	98.58573	98.175088	98.58006	97.611757
3992.0	97.32509	97.948007	97.913386	97.630981	98.11908	98.13991	98.423563	98.374752	98.598255	98.185767	98.578234	97.619251
3991.0	97.339059	97.961644	97.911926	97.638901	98.136838	98.145658	98.426679	98.370468	98.605004	98.198523	98.57383	97.622613
3990.0	97.352033	97.97439	97.907504	97.642034	98.147184	98.143642	98.423318	98.361804	98.604	98.208138	98.570152	97.623304
3989.0	97.362406	97.985804	97.902973	97.636274	98.148476	98.133408	98.414143	98.351028	98.596343	98.208995	98.569656	97.623985
3988.0	97.368374	97.992192	97.900331	97.623867	98.141677	98.11739	98.402399	98.34203	98.584483	98.199626	98.572259	97.626704
3987.0	97.368546	97.988832	97.899655	97.612027	98.129052	98.099504	98.391778	98.338154	98.570302	98.183874	98.575619	97.631706
3986.0	97.363275	97.975179	97.899514	97.606872	98.113544	98.084268	98.384629	98.339581	98.555544	98.168473	98.576768	97.637613
3985.0	97.354803	97.95726	97.898239	97.609027	98.098624	98.075632	98.381352	98.342838	98.543045	98.159436	98.573787	97.642466
3984.0	97.345431	97.943771	97.895333	97.614607	98.087445	98.074818	98.380304	98.343719	98.535728	98.159087	98.566964	97.644969
3983.0	97.335836	97.939165	97.891917	97.6196	98.081338	98.079254	98.378619	98.341123	98.533799	98.165151	98.558777	97.645242
3982.0	97.325906	97.940715	97.889721	97.622413	98.079189	98.084659	98.374453	98.337608	98.53388	98.172489	98.552395	97.644243
3981.0	97.316982	97.942365	97.889631	97.62285	98.078834	98.088507	98.369043	98.336302	98.531805	98.176598	98.5497	97.642543
3980.0	97.312007	97.941293	97.891366	97.620405	98.079503	98.091183	98.365987	98.33804	98.526472	98.176618	98.550554	97.640256
3979.0	97.312492	97.94001	97.894384	97.614448	98.082358	98.093781	98.367871	98.341817	98.52079	98.175347	98.553897	97.63795
3978.0	97.316031	97.942256	97.898317	97.605748	98.088243	98.095764	98.373794	98.34683	98.518998	98.176069	98.558963	97.636593
3977.0	97.318214	97.948121	97.902296	97.597346	98.09546	98.095623	98.380373	98.353005	98.523054	98.179026	98.56517	97.636402
3976.0	97.317373	97.95406	97.904745	97.593328	98.100627	98.093582	98.384978	98.359933	98.531138	98.181086	98.571399	97.636538
3975.0	97.316102	97.95695	97.904547	97.595698	98.101635	98.09219	98.387626	98.366219	98.539098	98.179013	98.576163	97.636245
3974.0	97.31715	97.956537	97.902094	97.601736	98.098902	98.09322	98.389781	98.370057	98.543201	98.172485	98.578619	97.635397
3973.0	97.318689	97.953805	97.898757	97.605098	98.093874	98.094598	98.391757	98.370322	98.54204	98.163615	98.579121	97.6338
3972.0	97.315515	97.948546	97.895667	97.601066	98.087632	98.092093	98.392011	98.367506	98.536725	98.154259	98.578513	97.631335
3971.0	97.305161	97.939731	97.89333	97.590814	98.081301	98.084683	98.389348	98.36389	98.530134	98.145075	98.577107	97.629392
3970.0	97.291682	97.927964	97.89169	97.580214	98.076838	98.076825	98.3854	98.362218	98.525736	98.137216	98.574367	97.630973
3969.0	97.282757	97.916623	97.890144	97.574533	98.076254	98.074267	98.384016	98.36358	98.526165	98.133515	98.569841	97.637722
3968.0	97.283392	97.909969	97.888091	97.574931	98.080154	98.078117	98.387672	98.366932	98.532025	98.136587	98.564531	97.647333
3967.0	97.292651	97.910093	97.885702	97.579981	98.087712	98.084554	98.394971	98.370845	98.541908	98.145896	98.560927	97.655457
3966.0	97.305393	97.915091	97.883857	97.588443	98.09743	98.089905	98.401816	98.375097	98.553419	98.157664	98.561122	97.659584
3965.0	97.316087	97.919961	97.883006	97.599111	98.107447	98.094023	98.404387	98.380158	98.56385	98.167928	98.564685	97.659737
3964.0	97.321157	97.920131	97.882554	97.608964	98.115718	98.097914	98.400653	98.38575	98.570118	98.175058	98.568849	97.656023
3963.0	97.319062	97.914839	97.881915	97.613343	98.12062	98.099895	98.390056	98.390724	98.569456	98.179037	98.571202	97.647518
3962.0	97.309684	97.90705	97.881851	97.609186	98.121506	98.096338	98.373599	98.394226	98.561722	98.179152	98.571973	97.634444
3961.0	97.294419	97.899866	97.883999	97.598294	98.118639	98.086451	98.354938	98.396499	98.550995	98.173884	98.573229	97.620604
3960.0	97.276935	97.893884	97.889274	97.587028	98.113068	98.074596	98.340207	98.398622	98.543497	98.16387	98.576121	97.612285
3959.0	97.262866	97.888474	97.897361	97.5818	98.106326	98.06712	98.334834	98.401834	98.543088	98.153835	98.579856	97.613841
3958.0	97.257438	97.885011	97.907155	97.584346	98.099916	98.06687	98.339422	98.406656	98.548336	98.149995	98.583123	97.624474
3957.0	97.262632	97.887334	97.917213	97.5913	98.094716	98.071293	98.349068	98.412191	98.554351	98.155072	98.585813	97.639183
3956.0	97.276574	97.898092	97.926215	97.598073	98.091201	98.075522	98.357381	98.416626	98.557496	98.166289	98.589083	97.652839
3955.0	97.295458	97.915301	97.933401	97.603386	98.090877	98.077312	98.36179	98.418777	98.558701	98.178414	98.593869	97.664069
3954.0	97.315607	97.932876	97.938656	97.609224	98.096214	98.079057	98.364773	98.418934	98.562226	98.188256	98.599717	97.674571
3953.0	97.333896	97.944746	97.941696	97.617453	98.108752	98.085031	98.36979	98.418088	98.571026	98.195604	98.604571	97.685095
3952.0	97.347659	97.948712	97.941518	97.627687	98.127127	98.097358	98.376893	98.416933	98.583539	98.200717	98.605796	97.692995
3951.0	97.355664	97.94724	97.937259	97.638382	98.14717	98.114385	98.383025	98.415878	98.59481	98.20258	98.601995	97.694722
3950.0	97.359304	97.945352	97.929591	97.649135	98.16421	98.132191	98.386416	98.415235	98.600624	98.20035	98.59417	97.690745
3949.0	97.36193	97.94695	97.92163	97.660145	98.1747	98.147091	98.389019	98.41494	98.600572	98.195528	98.585508	97.685948
3948.0	97.36608	97.952288	97.917867	97.670079	98.176798	98.157355	98.39354	98.414579	98.597697	98.191193	98.579661	97.685025
3947.0	97.371189	97.958659	97.921453	97.675589	98.170178	98.163539	98.399296	98.414156	98.595819	98.18918	98.578992	97.688264
3946.0	97.37417	97.963226	97.931944	97.673626	98.155875	98.167214	98.402365	98.414458	98.597068	98.189152	98.583676	97.6921
3945.0	97.372436	97.965187	97.945172	97.664628	98.136821	98.169018	98.39948	98.416386	98.600869	98.190142	98.591494	97.692933
3944.0	97.366772	97.965812	97.955472	97.653554	98.118506	98.168274	98.391334	98.420022	98.604872	98.191949	98.598799	97.690281
3943.0	97.360987	97.967021	97.958911	97.64731	98.107621	98.164877	98.382164	98.424344	98.607432	98.194895	98.602891	97.68685
3942.0	97.358051	97.96899	97.95566	97.649146	98.106955	98.1604	98.376407	98.427995	98.6092	98.198613	98.604155	97.68481
3941.0	97.356911	97.969308	97.949072	97.655594	98.111832	98.155952	98.375843	98.430333	98.611376	98.201297	98.604909	97.682933
3940.0	97.354257	97.965923	97.942566	97.660464	98.113912	98.150195	98.379613	98.431625	98.612861	98.200651	98.605874	97.678874
3939.0	97.348786	97.960454	97.937861	97.660874	98.108307	98.141614	98.385543	98.432573	98.61074	98.19591	98.604987	97.673241
3938.0	97.342749	97.957192	97.934963	97.658097	98.09686	98.132181	98.39145	98.43359	98.60376	98.188861	98.600033	97.669677
3937.0	97.339094	97.958737	97.932599	97.653771	98.085317	98.127005	98.395995	98.434167	98.594561	98.182863	98.591966	97.670247
3936.0	97.337842	97.962936	97.929161	97.64708	98.077772	98.128974	98.398224	98.433382	98.587132	98.180826	98.585033	97.671709
3935.0	97.335994	97.964818	97.923915	97.63705	98.074437	98.134556	98.396554	98.43123	98.582323	98.183519	98.583002	97.668327
3934.0	97.330979	97.960865	97.917978	97.625456	98.072623	98.136647	98.389087	98.428987	98.57726	98.189185	98.58568	97.65776
3933.0	97.323891	97.951587	97.913372	97.616686	98.069584	98.131609	98.375699	98.427709	98.569388	98.194748	98.588932	97.643934
3932.0	97.319015	97.940831	97.911072	97.614809	98.064738	98.123177	98.359744	98.426935	98.560356	98.198055	98.588627	97.633821
3931.0	97.319752	97.933253	97.910013	97.621122	98.060221	98.118378	98.346634	98.425615	98.554372	98.199405	98.584537	97.632159
3930.0	97.325199	97.931765	97.908622	97.633378	98.058514	98.120627	98.340552	98.423806	98.553557	98.200408	98.580133	97.638565
3929.0	97.330579	97.935477	97.907212	97.645665	98.058242	98.127633	98.342074	98.422557	98.556628	98.201456	98.579376	97.647489
3928.0	97.330738	97.940027	97.907723	97.651588	98.054232	98.133769	98.348121	98.422475	98.561131	98.201129	98.583479	97.651777
3927.0	97.323895	97.941154	97.911133	97.649968	98.043024	98.133386	98.354236	98.42307	98.565466	98.198622	98.590084	97.647956
3926.0	97.313172	97.938464	97.915729	97.646383	98.027375	98.124178	98.357517	98.423255	98.569252	98.19606	98.595313	97.63845
3925.0	97.304529	97.936423	97.917576	97.648141	98.014445	98.110438	98.358384	98.421694	98.573354	98.197482	98.596947	97.629159
3924.0	97.302289	97.940104	97.913794	97.656355	98.008934	98.101052	98.359769	98.417287	98.578864	98.205336	98.595964	97.623821
