ν	D-Alanina No Magnetizada Irradiada Petri	D-Alanina No Magnetizada Eppendorf	D-Alanina Magnetizada Irradiada Petri	D-Alanina Magnetizada Eppendorf	D-Alanina Irradiada No Magnetizada Eppendorf	D-Alanina Irradiada Magnetizada Eppendorf	D-Alanina  No Magnetizada Petri	D-Alanina  Magnetizada Petri
4000.0	98.411157	98.408923	98.567855	98.148994	97.473233	98.550413	97.990523	97.601493
3999.0	98.414718	98.411087	98.562149	98.146843	97.477212	98.54961	97.990959	97.587249
3998.0	98.414634	98.413262	98.553398	98.145854	97.494034	98.550155	97.997919	97.577714
3997.0	98.415296	98.41236	98.548684	98.14907	97.508355	98.55471	98.010486	97.574247
3996.0	98.41829	98.410318	98.550744	98.152702	97.522122	98.562372	98.024322	97.578491
3995.0	98.422744	98.411105	98.558951	98.160412	97.530596	98.570821	98.035813	97.588548
3994.0	98.429306	98.418833	98.571426	98.167442	97.532762	98.577427	98.044569	97.600752
3993.0	98.441164	98.434438	98.58573	98.175088	97.531215	98.58006	98.05253	97.611757
3992.0	98.459461	98.452975	98.598255	98.185767	97.529259	98.578234	98.060418	97.619251
3991.0	98.478775	98.466163	98.605004	98.198523	97.528249	98.57383	98.066214	97.622613
3990.0	98.489348	98.469003	98.604	98.208138	97.527586	98.570152	98.066929	97.623304
3989.0	98.484589	98.463555	98.596343	98.208995	97.526162	98.569656	98.060748	97.623985
3988.0	98.466422	98.45567	98.584483	98.199626	97.523427	98.572259	98.047445	97.626704
3987.0	98.443452	98.448825	98.570302	98.183874	97.519474	98.575619	98.028249	97.631706
3986.0	98.424654	98.442327	98.555544	98.168473	97.514516	98.576768	98.006525	97.637613
3985.0	98.41446	98.434734	98.543045	98.159436	97.508561	98.573787	97.987844	97.642466
3984.0	98.411812	98.426919	98.535728	98.159087	97.501852	98.566964	97.977414	97.644969
3983.0	98.412364	98.42072	98.533799	98.165151	97.495652	98.558777	97.976372	97.645242
3982.0	98.411733	98.41573	98.53388	98.172489	97.49226	98.552395	97.980785	97.644243
3981.0	98.408194	98.409457	98.531805	98.176598	97.493741	98.5497	97.984842	97.642543
3980.0	98.403389	98.401413	98.526472	98.176618	97.500339	98.550554	97.985667	97.640256
3979.0	98.400327	98.395861	98.52079	98.175347	97.510245	98.553897	97.984947	97.63795
3978.0	98.400399	98.398914	98.518998	98.176069	97.520663	98.558963	97.986131	97.636593
3977.0	98.402367	98.412386	98.523054	98.179026	97.529007	98.56517	97.990961	97.636402
3976.0	98.404333	98.431027	98.531138	98.181086	97.533798	98.571399	97.998992	97.636538
3975.0	98.406031	98.446464	98.539098	98.179013	97.535204	98.576163	98.009195	97.636245
3974.0	98.408408	98.453597	98.543201	98.172485	97.534839	98.578619	98.020092	97.635397
3973.0	98.411317	98.45323	98.54204	98.163615	97.534583	98.579121	98.028455	97.6338
3972.0	98.413013	98.449375	98.536725	98.154259	97.535334	98.578513	98.030269	97.631335
3971.0	98.412634	98.445282	98.530134	98.145075	97.53694	98.577107	98.02467	97.629392
3970.0	98.412393	98.442101	98.525736	98.137216	97.53877	98.574367	98.016359	97.630973
3969.0	98.416172	98.439862	98.526165	98.133515	97.540362	98.569841	98.012426	97.637722
3968.0	98.425846	98.438616	98.532025	98.136587	97.541998	98.564531	98.016108	97.647333
3967.0	98.439612	98.438474	98.541908	98.145896	97.544699	98.560927	98.024807	97.655457
3966.0	98.453855	98.438936	98.553419	98.157664	97.549335	98.561122	98.033999	97.659584
3965.0	98.465809	98.438525	98.56385	98.167928	97.555331	98.564685	98.041493	97.659737
3964.0	98.473883	98.43525	98.570118	98.175058	97.560623	98.568849	98.047087	97.656023
3963.0	98.476359	98.427749	98.569456	98.179037	97.563731	98.571202	98.04922	97.647518
3962.0	98.471576	98.416221	98.561722	98.179152	97.565788	98.571973	98.044156	97.634444
3961.0	98.460354	98.40253	98.550995	98.173884	97.569416	98.573229	98.030022	97.620604
3960.0	98.447395	98.389796	98.543497	98.16387	97.575405	98.576121	98.011156	97.612285
3959.0	98.438685	98.381793	98.543088	98.153835	97.58159	98.579856	97.996426	97.613841
3958.0	98.436774	98.381779	98.548336	98.149995	97.585075	98.583123	97.992293	97.624474
3957.0	98.439094	98.390242	98.554351	98.155072	97.585301	98.585813	97.997934	97.639183
3956.0	98.441294	98.40339	98.557496	98.166289	97.584691	98.589083	98.00717	97.652839
3955.0	98.441752	98.415147	98.558701	98.178414	97.586157	98.593869	98.015196	97.664069
3954.0	98.442134	98.42185	98.562226	98.188256	97.590468	98.599717	98.022171	97.674571
3953.0	98.44417	98.424775	98.571026	98.195604	97.595466	98.604571	98.030372	97.685095
3952.0	98.447347	98.427468	98.583539	98.200717	97.59776	98.605796	98.039403	97.692995
3951.0	98.450392	98.431111	98.59481	98.20258	97.595313	98.601995	98.045298	97.694722
3950.0	98.454017	98.433318	98.600624	98.20035	97.588669	98.59417	98.044734	97.690745
3949.0	98.460688	98.431512	98.600572	98.195528	97.580866	98.585508	98.038533	97.685948
3948.0	98.471227	98.426859	98.597697	98.191193	97.575808	98.579661	98.03082	97.685025
3947.0	98.482503	98.423775	98.595819	98.18918	97.576254	98.578992	98.025521	97.688264
3946.0	98.489275	98.425407	98.597068	98.189152	97.582496	98.583676	98.024257	97.6921
3945.0	98.488452	98.430253	98.600869	98.190142	97.59201	98.591494	98.026659	97.692933
3944.0	98.482046	98.433641	98.604872	98.191949	97.600526	98.598799	98.031782	97.690281
3943.0	98.47593	98.43229	98.607432	98.194895	97.604556	98.602891	98.039651	97.68685
3942.0	98.475053	98.427028	98.6092	98.198613	97.604109	98.604155	98.050399	97.68481
3941.0	98.479325	98.421011	98.611376	98.201297	97.601979	98.604909	98.0619	97.682933
3940.0	98.484206	98.416153	98.612861	98.200651	97.600433	98.605874	98.070174	97.678874
3939.0	98.484842	98.412794	98.61074	98.19591	97.599843	98.604987	98.072604	97.673241
3938.0	98.48	98.412504	98.60376	98.188861	97.599667	98.600033	98.069923	97.669677
3937.0	98.47251	98.417761	98.594561	98.182863	97.599572	98.591966	98.065431	97.670247
3936.0	98.466152	98.427812	98.587132	98.180826	97.59948	98.585033	98.061906	97.671709
3935.0	98.461915	98.436721	98.582323	98.183519	97.598778	98.583002	98.059435	97.668327
3934.0	98.457273	98.437597	98.57726	98.189185	97.596934	98.58568	98.055223	97.65776
3933.0	98.449578	98.429421	98.569388	98.194748	97.59437	98.588932	98.046349	97.643934
3932.0	98.440017	98.418346	98.560356	98.198055	97.592715	98.588627	98.033883	97.633821
3931.0	98.433132	98.411895	98.554372	98.199405	97.593181	98.584537	98.023954	97.632159
3930.0	98.431857	98.412504	98.553557	98.200408	97.595421	98.580133	98.022736	97.638565
3929.0	98.434409	98.416678	98.556628	98.201456	97.59881	98.579376	98.029481	97.647489
3928.0	98.43677	98.419321	98.561131	98.201129	97.603078	98.583479	98.036213	97.651777
3927.0	98.437331	98.417551	98.565466	98.198622	97.607333	98.590084	98.035256	97.647956
3926.0	98.438086	98.411803	98.569252	98.19606	97.609714	98.595313	98.026182	97.63845
3925.0	98.441207	98.405276	98.573354	98.197482	97.608556	98.596947	98.01649	97.629159
3924.0	98.445587	98.402218	98.578864	98.205336	97.604092	98.595964	98.014508	97.623821
3923.0	98.447802	98.404606	98.584997	98.217703	97.597768	98.594698	98.021659	97.62167
3922.0	98.445388	98.409457	98.589258	98.229106	97.589936	98.594119	98.033414	97.621213
3921.0	98.438672	98.411647	98.591067	98.234541	97.580535	98.594081	98.044832	97.62309
3920.0	98.430617	98.410012	98.593685	98.233356	97.570943	98.594676	98.053455	97.628693
3919.0	98.425549	98.408307	98.600662	98.229686	97.563936	98.595787	98.058262	97.636895
3918.0	98.426812	98.409792	98.609965	98.228509	97.561038	98.595332	98.058366	97.643798
3917.0	98.434365	98.413472	98.614313	98.230833	97.56114	98.590208	98.053999	97.64635
3916.0	98.444672	98.416681	98.608331	98.233351	97.562635	98.580073	98.047415	97.645191
3915.0	98.453234	98.418729	98.593888	98.232298	97.565423	98.568766	98.041706	97.64411
3914.0	98.457339	98.420176	98.57762	98.226628	97.569955	98.560907	98.038416	97.64699
3913.0	98.457064	98.420856	98.565706	98.217729	97.575734	98.55835	98.036664	97.65524
3912.0	98.455001	98.420885	98.560295	98.208156	97.581643	98.5596	98.034675	97.66711
3911.0	98.454646	98.421463	98.559891	98.200581	97.587637	98.562138	98.031366	97.678548
3910.0	98.457994	98.424046	98.56141	98.196944	97.594107	98.564476	98.02699	97.685935
3909.0	98.463678	98.428898	98.563143	98.19758	97.600645	98.567075	98.022393	97.68779
3908.0	98.467781	98.434926	98.565588	98.20124	97.606526	98.572108	98.01725	97.683499
3907.0	98.466617	98.440423	98.569693	98.205836	97.611039	98.581132	98.011148	97.673163
3906.0	98.459988	98.443449	98.574312	98.209695	97.613166	98.592232	98.00574	97.658773
3905.0	98.452884	98.443022	98.576618	98.213028	97.610409	98.599165	98.006253	97.646019
3904.0	98.453187	98.440907	98.576506	98.218424	97.601407	98.596504	98.018422	97.641598
3903.0	98.465247	98.442048	98.578296	98.228031	97.589981	98.586508	98.040375	97.646512
3902.0	98.484556	98.449593	98.585484	98.238452	97.582518	98.577576	98.061131	97.655352
3901.0	98.499463	98.459139	98.595145	98.240982	97.581779	98.575703	98.070503	97.662511
3900.0	98.500256	98.461997	98.600216	98.229073	97.586165	98.579939	98.067422	97.666403
3899.0	98.487863	98.455086	98.597081	98.206033	97.593645	98.585658	98.059348	97.669307
3898.0	98.472533	98.444316	98.588673	98.184109	97.604586	98.590078	98.054051	97.673266
