ν,LD-Alanina No Magnetizada  Eppendorf,LD-Alanina Magnetizada  Eppendorf,LD-Alanina Irradiada No Magnetizada Eppendorf,LD-Alanina Irradiada Magnetizada Eppendorf,L-Alanina No Magnetizada  Eppendorf,L-Alanina Magnetizada Eppendorf,L-Alanina Irradiada No Magnetizada Eppendorf,L-Alanina Irradiada  Magnetizada Eppendorf,D-Alanina No Magnetizada Eppendorf,D-Alanina Magnetizada Eppendorf,D-Alanina Irradiada No Magnetizada Eppendorf,D-Alanina Irradiada Magnetizada Eppendorf
4000.0,98.114037,97.897695,97.95221,97.886362,97.887025,98.393303,97.801581,98.334007,98.408923,98.148994,97.473233,98.550413
3999.0,98.104403,97.897299,97.949289,97.883691,97.89147,98.390635,97.802273,98.330237,98.411087,98.146843,97.477212,98.54961
3998.0,98.100843,97.896926,97.947823,97.878162,97.895921,98.38798,97.804443,98.329317,98.413262,98.145854,97.494034,98.550155
3997.0,98.108526,97.896602,97.949081,97.874121,97.900357,98.385284,97.810025,98.334368,98.41236,98.14907,97.508355,98.55471
3996.0,98.125369,97.898582,97.953309,97.8875,97.906675,98.38884,97.818102,98.344301,98.410318,98.152702,97.522122,98.562372
3995.0,98.144064,97.905505,97.960032,97.894477,97.91467,98.396834,97.840918,98.355201,98.411105,98.160412,97.530596,98.570821
3994.0,98.150293,97.917721,97.96892,97.90305,97.926653,98.406501,97.845712,98.369354,98.418833,98.167442,97.532762,98.577427
3993.0,98.159824,97.932923,97.978367,97.910188,97.940021,98.415978,97.845348,98.374262,98.434438,98.175088,97.531215,98.58006
3992.0,98.166779,97.948007,97.985247,97.913386,97.951896,98.423563,97.841524,98.374752,98.452975,98.185767,97.529259,98.578234
3991.0,98.170756,97.961644,97.987098,97.911926,97.959327,98.426679,97.836673,98.370468,98.466163,98.198523,97.528249,98.57383
3990.0,98.16858,97.97439,97.984597,97.907504,97.960953,98.423318,97.832884,98.361804,98.469003,98.208138,97.527586,98.570152
3989.0,98.158615,97.985804,97.981094,97.902973,97.95764,98.414143,97.831143,98.351028,98.463555,98.208995,97.526162,98.569656
3988.0,98.144471,97.992192,97.979584,97.900331,97.951241,98.402399,97.831088,98.34203,98.45567,98.199626,97.523427,98.572259
3987.0,98.133505,97.988832,97.980546,97.899655,97.942962,98.391778,97.831508,98.338154,98.448825,98.183874,97.519474,98.575619
3986.0,98.13158,97.975179,97.982419,97.899514,97.933343,98.384629,97.831056,98.339581,98.442327,98.168473,97.514516,98.576768
3985.0,98.139025,97.95726,97.983334,97.898239,97.923216,98.381352,97.828714,98.342838,98.434734,98.159436,97.508561,98.573787
3984.0,98.150645,97.943771,97.982362,97.895333,97.913494,98.380304,97.824189,98.343719,98.426919,98.159087,97.501852,98.566964
3983.0,98.15917,97.939165,97.979781,97.891917,97.90395,98.378619,97.818128,98.341123,98.42072,98.165151,97.495652,98.558777
3982.0,98.15918,97.940715,97.976955,97.889721,97.89356,98.374453,97.811845,98.337608,98.41573,98.172489,97.49226,98.552395
3981.0,98.149439,97.942365,97.975874,97.889631,97.882871,98.369043,97.806827,98.336302,98.409457,98.176598,97.493741,98.5497
3980.0,98.133372,97.941293,97.977952,97.891366,97.8752,98.365987,97.804516,98.33804,98.401413,98.176618,97.500339,98.550554
3979.0,98.11775,97.94001,97.982697,97.894384,97.874052,98.367871,97.806154,98.341817,98.395861,98.175347,97.510245,98.553897
3978.0,98.109688,97.942256,97.987453,97.898317,97.879296,98.373794,97.811919,98.34683,98.398914,98.176069,97.520663,98.558963
3977.0,98.112806,97.948121,97.988762,97.902296,97.886665,98.380373,97.819872,98.353005,98.412386,98.179026,97.529007,98.56517
3976.0,98.124691,97.95406,97.984818,97.904745,97.891386,98.384978,97.826707,98.359933,98.431027,98.181086,97.533798,98.571399
3975.0,98.137747,97.95695,97.976936,97.904547,97.892009,98.387626,97.830474,98.366219,98.446464,98.179013,97.535204,98.576163
3974.0,98.14331,97.956537,97.968617,97.902094,97.890693,98.389781,97.832236,98.370057,98.453597,98.172485,97.534839,98.578619
3973.0,98.136816,97.953805,97.962974,97.898757,97.890564,98.391757,97.834441,98.370322,98.45323,98.163615,97.534583,98.579121
3972.0,98.120646,97.948546,97.960852,97.895667,97.893591,98.392011,97.83792,98.367506,98.449375,98.154259,97.535334,98.578513
3971.0,98.102393,97.939731,97.961078,97.89333,97.900693,98.389348,97.841267,98.36389,98.445282,98.145075,97.53694,98.577107
3970.0,98.089857,97.927964,97.961594,97.89169,97.912359,98.3854,97.842839,98.362218,98.442101,98.137216,97.53877,98.574367
3969.0,98.086489,97.916623,97.960711,97.890144,97.927617,98.384016,97.842635,98.36358,98.439862,98.133515,97.540362,98.569841
3968.0,98.090793,97.909969,97.958415,97.888091,97.942417,98.387672,97.842325,98.366932,98.438616,98.136587,97.541998,98.564531
3967.0,98.099314,97.910093,97.956617,97.885702,97.950734,98.394971,97.843678,98.370845,98.438474,98.145896,97.544699,98.560927
3966.0,98.109631,97.915091,97.957592,97.883857,97.948923,98.401816,97.84695,98.375097,98.438936,98.157664,97.549335,98.561122
3965.0,98.120398,97.919961,97.961561,97.883006,97.939281,98.404387,97.850666,98.380158,98.438525,98.167928,97.555331,98.564685
3964.0,98.129531,97.920131,97.966079,97.882554,97.928443,98.400653,97.853094,98.38575,98.43525,98.175058,97.560623,98.568849
3963.0,98.133612,97.914839,97.96848,97.881915,97.92175,98.390056,97.85422,98.390724,98.427749,98.179037,97.563731,98.571202
3962.0,98.129875,97.90705,97.968879,97.881851,97.919142,98.373599,97.856041,98.394226,98.416221,98.179152,97.565788,98.571973
3961.0,98.118999,97.899866,97.970022,97.883999,97.916977,98.354938,97.860424,98.396499,98.40253,98.173884,97.569416,98.573229
3960.0,98.105964,97.893884,97.974095,97.889274,97.91311,98.340207,97.86691,98.398622,98.389796,98.16387,97.575405,98.576121
3959.0,98.097496,97.888474,97.980721,97.897361,97.909263,98.334834,97.873232,98.401834,98.381793,98.153835,97.58159,98.579856
3958.0,98.097914,97.885011,97.987694,97.907155,97.908864,98.339422,97.877587,98.406656,98.381779,98.149995,97.585075,98.583123
3957.0,98.106664,97.887334,97.993105,97.917213,97.913638,98.349068,97.879657,98.412191,98.390242,98.155072,97.585301,98.585813
3956.0,98.119206,97.898092,97.996811,97.926215,97.922546,98.357381,97.880082,98.416626,98.40339,98.166289,97.584691,98.589083
3955.0,98.130611,97.915301,97.999952,97.933401,97.933259,98.36179,97.879397,98.418777,98.415147,98.178414,97.586157,98.593869
3954.0,98.138854,97.932876,98.003874,97.938656,97.943933,98.364773,97.877769,98.418934,98.42185,98.188256,97.590468,98.599717
3953.0,98.145048,97.944746,98.008956,97.941696,97.953652,98.36979,97.875138,98.418088,98.424775,98.195604,97.595466,98.604571
3952.0,98.150884,97.948712,98.014285,97.941518,97.961889,98.376893,97.871439,98.416933,98.427468,98.200717,97.59776,98.605796
3951.0,98.156131,97.94724,98.018262,97.937259,97.968013,98.383025,97.867188,98.415878,98.431111,98.20258,97.595313,98.601995
3950.0,98.159071,97.945352,98.019224,97.929591,97.971299,98.386416,97.8635,98.415235,98.433318,98.20035,97.588669,98.59417
3949.0,98.158914,97.94695,98.016815,97.92163,97.971389,98.389019,97.861599,98.41494,98.431512,98.195528,97.580866,98.585508
3948.0,98.157032,97.952288,98.012981,97.917867,97.968885,98.39354,97.862305,98.414579,98.426859,98.191193,97.575808,98.579661
3947.0,98.155567,97.958659,98.011305,97.921453,97.965583,98.399296,97.86613,98.414156,98.423775,98.18918,97.576254,98.578992
3946.0,98.155407,97.963226,98.014362,97.931944,97.96373,98.402365,97.873338,98.414458,98.425407,98.189152,97.582496,98.583676
3945.0,98.155999,97.965187,98.020958,97.945172,97.964789,98.39948,97.883159,98.416386,98.430253,98.190142,97.59201,98.591494
3944.0,98.157026,97.965812,98.026351,97.955472,97.968547,98.391334,97.893195,98.420022,98.433641,98.191949,97.600526,98.598799
3943.0,98.160073,97.967021,98.026252,97.958911,97.972943,98.382164,97.900077,98.424344,98.43229,98.194895,97.604556,98.602891
3942.0,98.167813,97.96899,98.021563,97.95566,97.975113,98.376407,97.901744,98.427995,98.427028,98.198613,97.604109,98.604155
3941.0,98.180518,97.969308,98.017553,97.949072,97.973582,98.375843,97.89918,98.430333,98.421011,98.201297,97.601979,98.604909
3940.0,98.194131,97.965923,98.017743,97.942566,97.969372,98.379613,97.895089,98.431625,98.416153,98.200651,97.600433,98.605874
