ν,LD-Alanina No Magnetizada Irradiada Petri,LD-Alanina Magnetizada Irradiada Petri,LD-Alanina Irradiada No Magnetizada Eppendorf,LD-Alanina Irradiada Magnetizada Eppendorf,L-Alanina No Magnetizada Irradiada Petri,L-Alanina Magnetizada Irradiada Petri,L-Alanina Irradiada No Magnetizada Eppendorf,L-Alanina Irradiada  Magnetizada Eppendorf,D-Alanina No Magnetizada Irradiada Petri,D-Alanina Magnetizada Irradiada Petri,D-Alanina Irradiada No Magnetizada Eppendorf,D-Alanina Irradiada Magnetizada Eppendorf
4000.0,99.688364,97.297123,97.95221,97.886362,97.962166,98.110853,97.801581,98.334007,98.411157,98.567855,97.473233,98.550413
3999.0,99.692507,97.296259,97.949289,97.883691,97.963751,98.108354,97.802273,98.330237,98.414718,98.562149,97.477212,98.54961
3998.0,99.697645,97.292809,97.947823,97.878162,97.971326,98.105029,97.804443,98.329317,98.414634,98.553398,97.494034,98.550155
3997.0,99.701534,97.290313,97.949081,97.874121,97.983458,98.104588,97.810025,98.334368,98.415296,98.548684,97.508355,98.55471
3996.0,99.702275,97.290602,97.953309,97.8875,97.99695,98.107548,97.818102,98.344301,98.41829,98.550744,97.522122,98.562372
3995.0,99.700854,97.294149,97.960032,97.894477,98.00964,98.112841,97.840918,98.355201,98.422744,98.558951,97.530596,98.570821
3994.0,99.701725,97.301238,97.96892,97.90305,98.021804,98.120295,97.845712,98.369354,98.429306,98.571426,97.532762,98.577427
3993.0,99.709676,97.311883,97.978367,97.910188,98.034752,98.13001,97.845348,98.374262,98.441164,98.58573,97.531215,98.58006
3992.0,99.725009,97.32509,97.985247,97.913386,98.047883,98.13991,97.841524,98.374752,98.459461,98.598255,97.529259,98.578234
3991.0,99.742105,97.339059,97.987098,97.911926,98.057638,98.145658,97.836673,98.370468,98.478775,98.605004,97.528249,98.57383
3990.0,99.753495,97.352033,97.984597,97.907504,98.06001,98.143642,97.832884,98.361804,98.489348,98.604,97.527586,98.570152
3989.0,99.755186,97.362406,97.981094,97.902973,98.054035,98.133408,97.831143,98.351028,98.484589,98.596343,97.526162,98.569656
3988.0,99.74803,97.368374,97.979584,97.900331,98.042284,98.11739,97.831088,98.34203,98.466422,98.584483,97.523427,98.572259
3987.0,99.735144,97.368546,97.980546,97.899655,98.027902,98.099504,97.831508,98.338154,98.443452,98.570302,97.519474,98.575619
3986.0,99.719831,97.363275,97.982419,97.899514,98.012285,98.084268,97.831056,98.339581,98.424654,98.555544,97.514516,98.576768
3985.0,99.70596,97.354803,97.983334,97.898239,97.996264,98.075632,97.828714,98.342838,98.41446,98.543045,97.508561,98.573787
3984.0,99.697849,97.345431,97.982362,97.895333,97.982382,98.074818,97.824189,98.343719,98.411812,98.535728,97.501852,98.566964
3983.0,99.697586,97.335836,97.979781,97.891917,97.974117,98.079254,97.818128,98.341123,98.412364,98.533799,97.495652,98.558777
3982.0,99.70259,97.325906,97.976955,97.889721,97.972583,98.084659,97.811845,98.337608,98.411733,98.53388,97.49226,98.552395
3981.0,99.707169,97.316982,97.975874,97.889631,97.975343,98.088507,97.806827,98.336302,98.408194,98.531805,97.493741,98.5497
3980.0,99.70719,97.312007,97.977952,97.891366,97.979238,98.091183,97.804516,98.33804,98.403389,98.526472,97.500339,98.550554
3979.0,99.702897,97.312492,97.982697,97.894384,97.983427,98.093781,97.806154,98.341817,98.400327,98.52079,97.510245,98.553897
3978.0,99.697371,97.316031,97.987453,97.898317,97.988788,98.095764,97.811919,98.34683,98.400399,98.518998,97.520663,98.558963
3977.0,99.693128,97.318214,97.988762,97.902296,97.995281,98.095623,97.819872,98.353005,98.402367,98.523054,97.529007,98.56517
3976.0,99.690494,97.317373,97.984818,97.904745,98.001268,98.093582,97.826707,98.359933,98.404333,98.531138,97.533798,98.571399
3975.0,99.688445,97.316102,97.976936,97.904547,98.005336,98.09219,97.830474,98.366219,98.406031,98.539098,97.535204,98.576163
