ν,L-Alanina No Magnetizada Irradiada Petri,L-Alanina No Magnetizada  Eppendorf,L-Alanina Magnetizada Petri,L-Alanina Magnetizada Irradiada Petri,L-Alanina Magnetizada Eppendorf,L-Alanina Irradiada No Magnetizada Eppendorf,L-Alanina Irradiada  Magnetizada Eppendorf,L-Alanina  No Magnetizada Petri
4000.0,97.962166,97.887025,98.028784,98.110853,98.393303,97.801581,98.334007,99.23412
3999.0,97.963751,97.89147,98.042392,98.108354,98.390635,97.802273,98.330237,99.233263
3998.0,97.971326,97.895921,98.053009,98.105029,98.38798,97.804443,98.329317,99.233861
3997.0,97.983458,97.900357,98.059642,98.104588,98.385284,97.810025,98.334368,99.23521
3996.0,97.99695,97.906675,98.0638,98.107548,98.38884,97.818102,98.344301,99.238649
3995.0,98.00964,97.91467,98.069612,98.112841,98.396834,97.840918,98.355201,99.244492
3994.0,98.021804,97.926653,98.080915,98.120295,98.406501,97.845712,98.369354,99.252665
3993.0,98.034752,97.940021,98.09854,98.13001,98.415978,97.845348,98.374262,99.263039
3992.0,98.047883,97.951896,98.11908,98.13991,98.423563,97.841524,98.374752,99.27413
3991.0,98.057638,97.959327,98.136838,98.145658,98.426679,97.836673,98.370468,99.28257
3990.0,98.06001,97.960953,98.147184,98.143642,98.423318,97.832884,98.361804,99.285027
3989.0,98.054035,97.95764,98.148476,98.133408,98.414143,97.831143,98.351028,99.280847
3988.0,98.042284,97.951241,98.141677,98.11739,98.402399,97.831088,98.34203,99.272508
3987.0,98.027902,97.942962,98.129052,98.099504,98.391778,97.831508,98.338154,99.263412
3986.0,98.012285,97.933343,98.113544,98.084268,98.384629,97.831056,98.339581,99.255565
3985.0,97.996264,97.923216,98.098624,98.075632,98.381352,97.828714,98.342838,99.24923
3984.0,97.982382,97.913494,98.087445,98.074818,98.380304,97.824189,98.343719,99.244115
3983.0,97.974117,97.90395,98.081338,98.079254,98.378619,97.818128,98.341123,99.240502
3982.0,97.972583,97.89356,98.079189,98.084659,98.374453,97.811845,98.337608,99.239246
3981.0,97.975343,97.882871,98.078834,98.088507,98.369043,97.806827,98.336302,99.240804
3980.0,97.979238,97.8752,98.079503,98.091183,98.365987,97.804516,98.33804,99.244253
3979.0,97.983427,97.874052,98.082358,98.093781,98.367871,97.806154,98.341817,99.247035
3978.0,97.988788,97.879296,98.088243,98.095764,98.373794,97.811919,98.34683,99.245942
3977.0,97.995281,97.886665,98.09546,98.095623,98.380373,97.819872,98.353005,99.239542
3976.0,98.001268,97.891386,98.100627,98.093582,98.384978,97.826707,98.359933,99.230478
3975.0,98.005336,97.892009,98.101635,98.09219,98.387626,97.830474,98.366219,99.224513
3974.0,98.007384,97.890693,98.098902,98.09322,98.389781,97.832236,98.370057,99.22572
3973.0,98.007624,97.890564,98.093874,98.094598,98.391757,97.834441,98.370322,99.23207
3972.0,98.00587,97.893591,98.087632,98.092093,98.392011,97.83792,98.367506,99.236836
3971.0,98.00297,97.900693,98.081301,98.084683,98.389348,97.841267,98.36389,99.234989
3970.0,98.00232,97.912359,98.076838,98.076825,98.3854,97.842839,98.362218,99.227994
3969.0,98.008231,97.927617,98.076254,98.074267,98.384016,97.842635,98.36358,99.222157
3968.0,98.021821,97.942417,98.080154,98.078117,98.387672,97.842325,98.366932,99.222618
3967.0,98.038892,97.950734,98.087712,98.084554,98.394971,97.843678,98.370845,99.229845
3966.0,98.052373,97.948923,98.09743,98.089905,98.401816,97.84695,98.375097,99.241004
3965.0,98.05718,97.939281,98.107447,98.094023,98.404387,97.850666,98.380158,99.252757
3964.0,98.05284,97.928443,98.115718,98.097914,98.400653,97.853094,98.38575,99.262149
3963.0,98.042175,97.92175,98.12062,98.099895,98.390056,97.85422,98.390724,99.266151
3962.0,98.028504,97.919142,98.121506,98.096338,98.373599,97.856041,98.394226,99.26239
