ν	LD-Alanina No Magnetizada Irradiada Petri	LD-Alanina No Magnetizada  Eppendorf	LD-Alanina Magnetizada Irradiada Petri	LD-Alanina Magnetizada  Eppendorf	LD-Alanina Irradiada No Magnetizada Eppendorf	LD-Alanina Irradiada Magnetizada Eppendorf	LD-Alanina  No Magnetizada Petri	LD-Alanina  Magnetizada Petri
4000.0	99.688364	98.114037	97.297123	97.897695	97.95221	97.886362	97.015408	97.574071
3999.0	99.692507	98.104403	97.296259	97.897299	97.949289	97.883691	97.014781	97.571765
3998.0	99.697645	98.100843	97.292809	97.896926	97.947823	97.878162	97.016972	97.580255
3997.0	99.701534	98.108526	97.290313	97.896602	97.949081	97.874121	97.022434	97.598609
3996.0	99.702275	98.125369	97.290602	97.898582	97.953309	97.8875	97.009981	97.619458
3995.0	99.700854	98.144064	97.294149	97.905505	97.960032	97.894477	97.016974	97.634678
3994.0	99.701725	98.150293	97.301238	97.917721	97.96892	97.90305	97.025731	97.619071
3993.0	99.709676	98.159824	97.311883	97.932923	97.978367	97.910188	97.035523	97.62401
3992.0	99.725009	98.166779	97.32509	97.948007	97.985247	97.913386	97.04605	97.630981
3991.0	99.742105	98.170756	97.339059	97.961644	97.987098	97.911926	97.057247	97.638901
3990.0	99.753495	98.16858	97.352033	97.97439	97.984597	97.907504	97.068225	97.642034
3989.0	99.755186	98.158615	97.362406	97.985804	97.981094	97.902973	97.076695	97.636274
3988.0	99.74803	98.144471	97.368374	97.992192	97.979584	97.900331	97.079751	97.623867
3987.0	99.735144	98.133505	97.368546	97.988832	97.980546	97.899655	97.076088	97.612027
3986.0	99.719831	98.13158	97.363275	97.975179	97.982419	97.899514	97.067713	97.606872
3985.0	99.70596	98.139025	97.354803	97.95726	97.983334	97.898239	97.059232	97.609027
3984.0	99.697849	98.150645	97.345431	97.943771	97.982362	97.895333	97.054684	97.614607
3983.0	99.697586	98.15917	97.335836	97.939165	97.979781	97.891917	97.054393	97.6196
3982.0	99.70259	98.15918	97.325906	97.940715	97.976955	97.889721	97.054834	97.622413
3981.0	99.707169	98.149439	97.316982	97.942365	97.975874	97.889631	97.052173	97.62285
3980.0	99.70719	98.133372	97.312007	97.941293	97.977952	97.891366	97.046319	97.620405
3979.0	99.702897	98.11775	97.312492	97.94001	97.982697	97.894384	97.040457	97.614448
3978.0	99.697371	98.109688	97.316031	97.942256	97.987453	97.898317	97.036262	97.605748
3977.0	99.693128	98.112806	97.318214	97.948121	97.988762	97.902296	97.0311	97.597346
3976.0	99.690494	98.124691	97.317373	97.95406	97.984818	97.904745	97.021427	97.593328
3975.0	99.688445	98.137747	97.316102	97.95695	97.976936	97.904547	97.008061	97.595698
3974.0	99.685864	98.14331	97.31715	97.956537	97.968617	97.902094	96.995894	97.601736
3973.0	99.681685	98.136816	97.318689	97.953805	97.962974	97.898757	96.988479	97.605098
3972.0	99.67501	98.120646	97.315515	97.948546	97.960852	97.895667	96.98503	97.601066
3971.0	99.666516	98.102393	97.305161	97.939731	97.961078	97.89333	96.983343	97.590814
3970.0	99.659636	98.089857	97.291682	97.927964	97.961594	97.89169	96.983943	97.580214
3969.0	99.658898	98.086489	97.282757	97.916623	97.960711	97.890144	96.989535	97.574533
3968.0	99.666029	98.090793	97.283392	97.909969	97.958415	97.888091	97.00074	97.574931
3967.0	99.678444	98.099314	97.292651	97.910093	97.956617	97.885702	97.013858	97.579981
3966.0	99.692029	98.109631	97.305393	97.915091	97.957592	97.883857	97.022803	97.588443
3965.0	99.704375	98.120398	97.316087	97.919961	97.961561	97.883006	97.023201	97.599111
3964.0	99.713932	98.129531	97.321157	97.920131	97.966079	97.882554	97.015547	97.608964
3963.0	99.716983	98.133612	97.319062	97.914839	97.96848	97.881915	97.005057	97.613343
3962.0	99.708563	98.129875	97.309684	97.90705	97.968879	97.881851	96.997831	97.609186
3961.0	99.68809	98.118999	97.294419	97.899866	97.970022	97.883999	96.996543	97.598294
3960.0	99.662808	98.105964	97.276935	97.893884	97.974095	97.889274	96.999636	97.587028
3959.0	99.643829	98.097496	97.262866	97.888474	97.980721	97.897361	97.003803	97.5818
3958.0	99.637831	98.097914	97.257438	97.885011	97.987694	97.907155	97.006986	97.584346
3957.0	99.64291	98.106664	97.262632	97.887334	97.993105	97.917213	97.009271	97.5913
3956.0	99.65216	98.119206	97.276574	97.898092	97.996811	97.926215	97.012198	97.598073
3955.0	99.661097	98.130611	97.295458	97.915301	97.999952	97.933401	97.017961	97.603386
3954.0	99.670981	98.138854	97.315607	97.932876	98.003874	97.938656	97.027711	97.609224
3953.0	99.684875	98.145048	97.333896	97.944746	98.008956	97.941696	97.039965	97.617453
3952.0	99.701586	98.150884	97.347659	97.948712	98.014285	97.941518	97.050991	97.627687
3951.0	99.714515	98.156131	97.355664	97.94724	98.018262	97.937259	97.057717	97.638382
3950.0	99.717188	98.159071	97.359304	97.945352	98.019224	97.929591	97.060391	97.649135
3949.0	99.709681	98.158914	97.36193	97.94695	98.016815	97.92163	97.061168	97.660145
3948.0	99.698957	98.157032	97.36608	97.952288	98.012981	97.917867	97.061207	97.670079
3947.0	99.692295	98.155567	97.371189	97.958659	98.011305	97.921453	97.060162	97.675589
3946.0	99.691012	98.155407	97.37417	97.963226	98.014362	97.931944	97.057854	97.673626
3945.0	99.690895	98.155999	97.372436	97.965187	98.020958	97.945172	97.055372	97.664628
3944.0	99.688521	98.157026	97.366772	97.965812	98.026351	97.955472	97.054744	97.653554
3943.0	99.686026	98.160073	97.360987	97.967021	98.026252	97.958911	97.057708	97.64731
3942.0	99.688206	98.167813	97.358051	97.96899	98.021563	97.95566	97.063407	97.649146
3941.0	99.695109	98.180518	97.356911	97.969308	98.017553	97.949072	97.068178	97.655594
3940.0	99.700075	98.194131	97.354257	97.965923	98.017743	97.942566	97.068746	97.660464
3939.0	99.696279	98.202533	97.348786	97.960454	98.020398	97.937861	97.065183	97.660874
3938.0	99.68452	98.201819	97.342749	97.957192	98.021109	97.934963	97.060586	97.658097
3937.0	99.673592	98.192575	97.339094	97.958737	98.017916	97.932599	97.057945	97.653771
3936.0	99.671992	98.178778	97.337842	97.962936	98.013467	97.929161	97.057535	97.64708
3935.0	99.680063	98.16547	97.335994	97.964818	98.011488	97.923915	97.057669	97.63705
3934.0	99.690437	98.156839	97.330979	97.960865	98.012504	97.917978	97.056469	97.625456
3933.0	99.695231	98.155024	97.323891	97.951587	98.01291	97.913372	97.052911	97.616686
3932.0	99.692177	98.159381	97.319015	97.940831	98.008724	97.911072	97.046706	97.614809
3931.0	99.684342	98.166891	97.319752	97.933253	97.999535	97.910013	97.038755	97.621122
3930.0	99.676154	98.173753	97.325199	97.931765	97.988619	97.908622	97.030653	97.633378
3929.0	99.670487	98.176607	97.330579	97.935477	97.980838	97.907212	97.02239	97.645665
3928.0	99.667598	98.173587	97.330738	97.940027	97.979482	97.907723	97.012597	97.651588
3927.0	99.665541	98.165507	97.323895	97.941154	97.983718	97.911133	97.001845	97.649968
3926.0	99.662922	98.155228	97.313172	97.938464	97.989008	97.915729	96.993986	97.646383
3925.0	99.661995	98.145865	97.304529	97.936423	97.990238	97.917576	96.993435	97.648141
3924.0	99.666124	98.139866	97.302289	97.940104	97.98585	97.913794	97.000851	97.656355
3923.0	99.673735	98.138161	97.306684	97.949733	97.978622	97.905674	97.013073	97.664328
3922.0	99.678672	98.139566	97.315384	97.961199	97.972253	97.897707	97.027348	97.665353
3921.0	99.678172	98.141693	97.326176	97.970378	97.969619	97.894181	97.042569	97.659474
3920.0	99.677507	98.143331	97.3377	97.975679	97.972741	97.896299	97.057246	97.652374
3919.0	99.684094	98.145155	97.348409	97.977071	97.981933	97.901982	97.068136	97.648909
3918.0	99.697831	98.147587	97.356073	97.974479	97.993985	97.908069	97.072335	97.648638
3917.0	99.711045	98.149527	97.35909	97.968407	98.003481	97.9128	97.070324	97.647649
3916.0	99.717664	98.150528	97.358271	97.961173	98.007853	97.916765	97.065459	97.643026
3915.0	99.718568	98.152443	97.356642	97.956086	98.009546	97.921556	97.060887	97.635443
3914.0	99.717602	98.157054	97.357145	97.954712	98.012059	97.927789	97.057602	97.628195
3913.0	99.715862	98.162529	97.360104	97.955369	98.015973	97.934232	97.0554	97.624728
3912.0	99.710665	98.165295	97.362763	97.954852	98.01937	97.938911	97.054416	97.626836
3911.0	99.699528	98.164638	97.361545	97.951703	98.021441	97.941528	97.054722	97.633595
3910.0	99.683593	98.164296	97.355523	97.948105	98.023271	97.944093	97.055599	97.641823
3909.0	99.66797	98.168566	97.347971	97.947951	98.02603	97.949355	97.055393	97.647504
3908.0	99.657384	98.177585	97.344097	97.952211	98.030647	97.959011	97.052165	97.646613
3907.0	99.652146	98.187477	97.346855	97.957564	98.037335	97.972124	97.046109	97.638441
3906.0	99.648195	98.194425	97.354264	97.959379	98.044657	97.984695	97.041035	97.627938
3905.0	99.642648	98.197979	97.361396	97.957559	98.047916	97.99049	97.043485	97.624822
3904.0	99.63873	98.201135	97.365666	97.958098	98.04256	97.985	97.057264	97.636371
3903.0	99.64216	98.206391	97.36936	97.965859	98.031244	97.970521	97.078001	97.658406
3902.0	99.652769	98.211354	97.375667	97.978339	98.022773	97.954918	97.096579	97.67798
3901.0	99.662773	98.210148	97.383738	97.989154	98.022851	97.945224	97.106674	97.686545
3900.0	99.664981	98.199315	97.389459	97.994038	98.029577	97.943876	97.107296	97.686887
3899.0	99.66008	98.183068	97.390491	97.993047	98.0373	97.949117	97.101506	97.688015
3898.0	99.654211	98.17107	97.388712	97.987905	98.043068	97.958119	97.093077	97.694526
3897.0	99.651778	98.169449	97.38755	97.980136	98.047252	97.968618	97.084946	97.703533
3896.0	99.65319	98.176391	97.388572	97.971986	98.050097	97.978676	97.078968	97.710495
3895.0	99.657277	98.185142	97.39068	97.965474	98.051968	97.986963	97.075086	97.712248
3894.0	99.662371	98.189564	97.391501	97.96019	98.054288	97.992901	97.072254	97.706191
3893.0	99.665096	98.187686	97.389254	97.954865	98.057252	97.995607	97.071785	97.692156
3892.0	99.660915	98.182505	97.384343	97.951549	98.056982	97.993591	97.077616	97.676459
3891.0	99.650399	98.179325	97.378443	97.954989	98.048831	97.986537	97.090998	97.669452
3890.0	99.640357	98.180531	97.371728	97.964401	98.035093	97.977222	97.106355	97.672477
3889.0	99.636331	98.183645	97.362585	97.973096	98.023555	97.969398	97.115677	97.676976
3888.0	99.635225	98.184925	97.350533	97.97513	98.020927	97.966034	97.113606	97.676068
3887.0	99.629228	98.182619	97.33985	97.970097	98.027439	97.968938	97.102248	97.672721
3886.0	99.618326	98.178201	97.339223	97.965089	98.036754	97.977376	97.092567	97.676786
3885.0	99.612683	98.176589	97.353213	97.96919	98.042334	97.986888	97.095009	97.693115
3884.0	99.619879	98.182593	97.376223	97.982384	98.04295	97.992036	97.108651	97.713778
3883.0	99.636134	98.195578	97.397824	97.995598	98.040622	97.990213	97.123213	97.726734
3882.0	99.650314	98.209134	97.410871	97.999951	98.036969	97.982951	97.128177	97.727181
3881.0	99.654209	98.215662	97.414507	97.994113	98.033124	97.974801	97.119658	97.719574
3880.0	99.649025	98.212655	97.411773	97.985192	98.031479	97.970361	97.101001	97.713055
3879.0	99.641704	98.204975	97.40501	97.980838	98.033153	97.969851	97.079699	97.713567
3878.0	99.637308	98.198018	97.394893	97.981367	98.036801	97.970043	97.062335	97.717689
3877.0	99.636127	98.193573	97.383008	97.983669	98.040048	97.969061	97.052764	97.719181
3876.0	99.635331	98.192508	97.373756	97.987027	98.040884	97.969266	97.053264	97.717842
3875.0	99.633679	98.194718	97.372697	97.994298	98.037826	97.974426	97.064903	97.720387
3874.0	99.633953	98.197462	97.381126	98.008039	98.032429	97.9842	97.083877	97.732334
3873.0	99.638582	98.199098	97.393229	98.024322	98.030311	97.99319	97.100762	97.749236
3872.0	99.643584	98.201839	97.400363	98.03258	98.036052	97.996567	97.107225	97.758842
3871.0	99.641686	98.207659	97.398728	98.026412	98.045803	97.994816	97.104769	97.754874
3870.0	99.633272	98.214571	97.392784	98.013282	98.050133	97.992661	97.102319	97.744727
3869.0	99.626901	98.219593	97.389382	98.005974	98.047653	97.994169	97.102848	97.736565
3868.0	99.626909	98.223653	97.390684	98.007942	98.045202	97.998017	97.102209	97.728551
3867.0	99.628135	98.229439	97.394824	98.01413	98.045998	97.999521	97.098176	97.717833
3866.0	99.624629	98.234898	97.399417	98.017019	98.047346	97.997107	97.092403	97.707225
3865.0	99.618944	98.232242	97.401783	98.011615	98.047056	97.993846	97.088322	97.700344
3864.0	99.617532	98.217107	97.39834	98.000949	98.046653	97.993318	97.087756	97.696945
3863.0	99.620738	98.195367	97.387621	97.994343	98.047719	97.995437	97.089621	97.69566
3862.0	99.624441	98.179079	97.373826	97.998345	98.046809	97.996351	97.093611	97.699346
3861.0	99.627526	98.175564	97.363732	98.009462	98.040386	97.993528	97.10004	97.710705
3860.0	99.631263	98.182172	97.359832	98.016876	98.030417	97.989275	97.107317	97.726481
3859.0	99.636481	98.188852	97.357948	98.013778	98.021751	97.988346	97.113305	97.741576
3858.0	99.641786	98.186655	97.352214	98.005065	98.017088	97.992999	97.117689	97.754939
3857.0	99.644577	98.17471	97.341716	98.002244	98.01621	98.001031	97.120019	97.767552
3856.0	99.643045	98.160358	97.33165	98.010026	98.018258	98.008275	97.117392	97.774711
3855.0	99.64045	98.15149	97.330127	98.019584	98.021839	98.013243	97.109629	97.768213
3854.0	99.642177	98.150016	97.34243	98.025215	98.016867	98.013238	97.110384	97.756036
3853.0	99.644878	98.15332	97.362288	98.033178	98.000586	98.005866	97.121717	97.754407
3852.0	99.640925	98.158104	97.376684	98.038699	97.989052	97.995617	97.122632	97.756507
3851.0	99.630475	98.160213	97.381129	98.030213	97.992872	97.987839	97.105468	97.74691
3850.0	99.619454	98.160178	97.381656	98.012786	98.005523	97.983004	97.08543	97.73107
3849.0	99.613704	98.164283	97.386912	97.998545	98.018572	97.981577	97.07794	97.722289
3848.0	99.615666	98.177939	97.401018	97.994469	98.028406	97.984211	97.088124	97.725461
3847.0	99.622128	98.199044	97.421073	97.99911	98.035953	97.990726	97.109793	97.735232
3846.0	99.626069	98.218522	97.439963	98.00583	98.042032	97.998942	97.131819	97.744729
3845.0	99.621576	98.227946	97.451035	98.008325	98.044586	98.005314	97.146344	97.752203
3844.0	99.607881	98.226034	97.451453	98.00478	98.040968	98.008265	97.151116	97.759188
3843.0	99.590674	98.216476	97.44238	97.998195	98.032421	98.009942	97.147135	97.765727
3842.0	99.577521	98.204883	97.427191	97.993846	98.02351	98.013193	97.137097	97.770654
3841.0	99.571602	98.196273	97.410458	97.9941	98.019312	98.019194	97.123887	97.772643
3840.0	99.570103	98.193588	97.39807	97.996936	98.022626	98.027321	97.111196	97.770975
3839.0	99.569375	98.19795	97.395126	98.000295	98.032051	98.035339	97.104956	97.766738
3838.0	99.568166	98.208801	97.401468	98.004999	98.042838	98.040454	97.10989	97.76193
3837.0	99.567894	98.222044	97.410917	98.011655	98.049716	98.040892	97.124913	97.758099
3836.0	99.57138	98.230926	97.416977	98.017311	98.051128	98.037178	97.143578	97.755586
3835.0	99.580717	98.230989	97.417851	98.018496	98.049759	98.031063	97.158792	97.754995
3834.0	99.594234	98.2243	97.415367	98.015215	98.048425	98.023195	97.166087	97.757093
3833.0	99.606554	98.216536	97.411393	98.009799	98.047814	98.013641	97.163807	97.760012
3832.0	99.613048	98.211452	97.406675	98.004508	98.047389	98.003707	97.154189	97.760709
3831.0	99.613382	98.209522	97.401938	98.000123	98.047226	97.996007	97.143182	97.758617
3830.0	99.610908	98.209723	97.398558	97.995285	98.048109	97.992538	97.136234	97.755036
3829.0	99.608878	98.212059	97.397502	97.988991	98.049529	97.992732	97.135501	97.75215
3828.0	99.606231	98.218856	97.398286	97.98276	98.049178	97.995013	97.13998	97.752662
3827.0	99.598042	98.230339	97.3991	97.97923	98.04592	97.99989	97.146706	97.758168
3826.0	99.580259	98.241114	97.397348	97.979488	98.0414	98.008622	97.15276	97.767591
3825.0	99.55329	98.243815	97.390582	97.981404	98.038536	98.01931	97.155525	97.776268
3824.0	99.52188	98.235653	97.378355	97.980416	98.039099	98.026773	97.150877	97.7775
3823.0	99.496006	98.220271	97.364454	97.972052	98.042686	98.027508	97.135351	97.766886
3822.0	99.488364	98.205273	97.357462	97.958881	98.044532	98.023166	97.115462	97.749383
3821.0	99.50444	98.196882	97.363301	97.952711	98.039896	98.019216	97.10464	97.738765
3820.0	99.535646	98.196134	97.376702	97.958358	98.033442	98.020235	97.106889	97.74115
3819.0	99.567281	98.199627	97.38773	97.966095	98.03332	98.025209	97.117614	97.748788
3818.0	99.588425	98.202805	97.392751	97.967569	98.041128	98.028882	97.132902	97.75371
3817.0	99.59775	98.203819	97.396248	97.965188	98.05246	98.028259	97.149915	97.755804
3816.0	99.606238	98.203953	97.404939	97.968723	98.06341	98.025585	97.164004	97.759034
3815.0	99.623803	98.206599	97.418834	97.983232	98.075022	98.024305	97.169181	97.763252
3814.0	99.645614	98.213886	97.430442	98.001842	98.087821	98.023851	97.164717	97.76397
3813.0	99.658347	98.222825	97.433082	98.015087	98.096903	98.021105	97.156816	97.76085
3812.0	99.654304	98.227618	97.42585	98.019855	98.09607	98.014578	97.152727	97.758573
3811.0	99.637395	98.225228	97.412059	98.017952	98.084503	98.005566	97.155449	97.758671
3810.0	99.618066	98.217881	97.395791	98.012471	98.067422	97.996075	97.162508	97.757635
3809.0	99.603835	98.210916	97.38042	98.005216	98.051323	97.987663	97.167601	97.752542
3808.0	99.595893	98.207539	97.369812	97.997809	98.038224	97.982264	97.166119	97.747792
3807.0	99.59304	98.206548	97.367629	97.994455	98.027273	97.982676	97.158621	97.752409
3806.0	99.594773	98.207346	97.372851	97.999075	98.019014	97.989487	97.149486	97.768522
3805.0	99.599828	98.213056	97.379792	98.010524	98.015119	97.998741	97.143006	97.788166
3804.0	99.603655	98.227756	97.383806	98.024275	98.0148	98.003929	97.140208	97.803948
3803.0	99.600836	98.248989	97.385157	98.033475	98.015541	98.001684	97.138427	97.813408
