ν	LD-Alanina No Magnetizada  Eppendorf	LD-Alanina Magnetizada  Eppendorf	LD-Alanina  No Magnetizada Petri	LD-Alanina  Magnetizada Petri	L-Alanina No Magnetizada  Eppendorf	L-Alanina Magnetizada Petri	L-Alanina Magnetizada Eppendorf	L-Alanina  No Magnetizada Petri	D-Alanina No Magnetizada Eppendorf	D-Alanina Magnetizada Eppendorf	D-Alanina  No Magnetizada Petri	D-Alanina  Magnetizada Petri
4000.0	98.114037	97.897695	97.015408	97.574071	97.887025	98.028784	98.393303	99.23412	98.408923	98.148994	97.990523	97.601493
3999.0	98.104403	97.897299	97.014781	97.571765	97.89147	98.042392	98.390635	99.233263	98.411087	98.146843	97.990959	97.587249
3998.0	98.100843	97.896926	97.016972	97.580255	97.895921	98.053009	98.38798	99.233861	98.413262	98.145854	97.997919	97.577714
3997.0	98.108526	97.896602	97.022434	97.598609	97.900357	98.059642	98.385284	99.23521	98.41236	98.14907	98.010486	97.574247
3996.0	98.125369	97.898582	97.009981	97.619458	97.906675	98.0638	98.38884	99.238649	98.410318	98.152702	98.024322	97.578491
3995.0	98.144064	97.905505	97.016974	97.634678	97.91467	98.069612	98.396834	99.244492	98.411105	98.160412	98.035813	97.588548
3994.0	98.150293	97.917721	97.025731	97.619071	97.926653	98.080915	98.406501	99.252665	98.418833	98.167442	98.044569	97.600752
3993.0	98.159824	97.932923	97.035523	97.62401	97.940021	98.09854	98.415978	99.263039	98.434438	98.175088	98.05253	97.611757
3992.0	98.166779	97.948007	97.04605	97.630981	97.951896	98.11908	98.423563	99.27413	98.452975	98.185767	98.060418	97.619251
3991.0	98.170756	97.961644	97.057247	97.638901	97.959327	98.136838	98.426679	99.28257	98.466163	98.198523	98.066214	97.622613
3990.0	98.16858	97.97439	97.068225	97.642034	97.960953	98.147184	98.423318	99.285027	98.469003	98.208138	98.066929	97.623304
3989.0	98.158615	97.985804	97.076695	97.636274	97.95764	98.148476	98.414143	99.280847	98.463555	98.208995	98.060748	97.623985
3988.0	98.144471	97.992192	97.079751	97.623867	97.951241	98.141677	98.402399	99.272508	98.45567	98.199626	98.047445	97.626704
3987.0	98.133505	97.988832	97.076088	97.612027	97.942962	98.129052	98.391778	99.263412	98.448825	98.183874	98.028249	97.631706
