ν	LD-Alanina No Magnetizada Irradiada Petri	LD-Alanina Magnetizada Irradiada Petri	LD-Alanina  No Magnetizada Petri	LD-Alanina  Magnetizada Petri	L-Alanina No Magnetizada Irradiada Petri	L-Alanina Magnetizada Petri	L-Alanina Magnetizada Irradiada Petri	L-Alanina  No Magnetizada Petri	D-Alanina No Magnetizada Irradiada Petri	D-Alanina Magnetizada Irradiada Petri	D-Alanina  No Magnetizada Petri	D-Alanina  Magnetizada Petri
4000.0	99.688364	97.297123	97.015408	97.574071	97.962166	98.028784	98.110853	99.23412	98.411157	98.567855	97.990523	97.601493
3999.0	99.692507	97.296259	97.014781	97.571765	97.963751	98.042392	98.108354	99.233263	98.414718	98.562149	97.990959	97.587249
3998.0	99.697645	97.292809	97.016972	97.580255	97.971326	98.053009	98.105029	99.233861	98.414634	98.553398	97.997919	97.577714
3997.0	99.701534	97.290313	97.022434	97.598609	97.983458	98.059642	98.104588	99.23521	98.415296	98.548684	98.010486	97.574247
3996.0	99.702275	97.290602	97.009981	97.619458	97.99695	98.0638	98.107548	99.238649	98.41829	98.550744	98.024322	97.578491
3995.0	99.700854	97.294149	97.016974	97.634678	98.00964	98.069612	98.112841	99.244492	98.422744	98.558951	98.035813	97.588548
3994.0	99.701725	97.301238	97.025731	97.619071	98.021804	98.080915	98.120295	99.252665	98.429306	98.571426	98.044569	97.600752
3993.0	99.709676	97.311883	97.035523	97.62401	98.034752	98.09854	98.13001	99.263039	98.441164	98.58573	98.05253	97.611757
3992.0	99.725009	97.32509	97.04605	97.630981	98.047883	98.11908	98.13991	99.27413	98.459461	98.598255	98.060418	97.619251
3991.0	99.742105	97.339059	97.057247	97.638901	98.057638	98.136838	98.145658	99.28257	98.478775	98.605004	98.066214	97.622613
3990.0	99.753495	97.352033	97.068225	97.642034	98.06001	98.147184	98.143642	99.285027	98.489348	98.604	98.066929	97.623304
3989.0	99.755186	97.362406	97.076695	97.636274	98.054035	98.148476	98.133408	99.280847	98.484589	98.596343	98.060748	97.623985
3988.0	99.74803	97.368374	97.079751	97.623867	98.042284	98.141677	98.11739	99.272508	98.466422	98.584483	98.047445	97.626704
3987.0	99.735144	97.368546	97.076088	97.612027	98.027902	98.129052	98.099504	99.263412	98.443452	98.570302	98.028249	97.631706
3986.0	99.719831	97.363275	97.067713	97.606872	98.012285	98.113544	98.084268	99.255565	98.424654	98.555544	98.006525	97.637613
3985.0	99.70596	97.354803	97.059232	97.609027	97.996264	98.098624	98.075632	99.24923	98.41446	98.543045	97.987844	97.642466
3984.0	99.697849	97.345431	97.054684	97.614607	97.982382	98.087445	98.074818	99.244115	98.411812	98.535728	97.977414	97.644969
3983.0	99.697586	97.335836	97.054393	97.6196	97.974117	98.081338	98.079254	99.240502	98.412364	98.533799	97.976372	97.645242
3982.0	99.70259	97.325906	97.054834	97.622413	97.972583	98.079189	98.084659	99.239246	98.411733	98.53388	97.980785	97.644243
3981.0	99.707169	97.316982	97.052173	97.62285	97.975343	98.078834	98.088507	99.240804	98.408194	98.531805	97.984842	97.642543
3980.0	99.70719	97.312007	97.046319	97.620405	97.979238	98.079503	98.091183	99.244253	98.403389	98.526472	97.985667	97.640256
3979.0	99.702897	97.312492	97.040457	97.614448	97.983427	98.082358	98.093781	99.247035	98.400327	98.52079	97.984947	97.63795
3978.0	99.697371	97.316031	97.036262	97.605748	97.988788	98.088243	98.095764	99.245942	98.400399	98.518998	97.986131	97.636593
3977.0	99.693128	97.318214	97.0311	97.597346	97.995281	98.09546	98.095623	99.239542	98.402367	98.523054	97.990961	97.636402
3976.0	99.690494	97.317373	97.021427	97.593328	98.001268	98.100627	98.093582	99.230478	98.404333	98.531138	97.998992	97.636538
3975.0	99.688445	97.316102	97.008061	97.595698	98.005336	98.101635	98.09219	99.224513	98.406031	98.539098	98.009195	97.636245
3974.0	99.685864	97.31715	96.995894	97.601736	98.007384	98.098902	98.09322	99.22572	98.408408	98.543201	98.020092	97.635397
3973.0	99.681685	97.318689	96.988479	97.605098	98.007624	98.093874	98.094598	99.23207	98.411317	98.54204	98.028455	97.6338
3972.0	99.67501	97.315515	96.98503	97.601066	98.00587	98.087632	98.092093	99.236836	98.413013	98.536725	98.030269	97.631335
3971.0	99.666516	97.305161	96.983343	97.590814	98.00297	98.081301	98.084683	99.234989	98.412634	98.530134	98.02467	97.629392
3970.0	99.659636	97.291682	96.983943	97.580214	98.00232	98.076838	98.076825	99.227994	98.412393	98.525736	98.016359	97.630973
3969.0	99.658898	97.282757	96.989535	97.574533	98.008231	98.076254	98.074267	99.222157	98.416172	98.526165	98.012426	97.637722
3968.0	99.666029	97.283392	97.00074	97.574931	98.021821	98.080154	98.078117	99.222618	98.425846	98.532025	98.016108	97.647333
3967.0	99.678444	97.292651	97.013858	97.579981	98.038892	98.087712	98.084554	99.229845	98.439612	98.541908	98.024807	97.655457
3966.0	99.692029	97.305393	97.022803	97.588443	98.052373	98.09743	98.089905	99.241004	98.453855	98.553419	98.033999	97.659584
3965.0	99.704375	97.316087	97.023201	97.599111	98.05718	98.107447	98.094023	99.252757	98.465809	98.56385	98.041493	97.659737
3964.0	99.713932	97.321157	97.015547	97.608964	98.05284	98.115718	98.097914	99.262149	98.473883	98.570118	98.047087	97.656023
3963.0	99.716983	97.319062	97.005057	97.613343	98.042175	98.12062	98.099895	99.266151	98.476359	98.569456	98.04922	97.647518
3962.0	99.708563	97.309684	96.997831	97.609186	98.028504	98.121506	98.096338	99.26239	98.471576	98.561722	98.044156	97.634444
3961.0	99.68809	97.294419	96.996543	97.598294	98.01463	98.118639	98.086451	99.251311	98.460354	98.550995	98.030022	97.620604
3960.0	99.662808	97.276935	96.999636	97.587028	98.003654	98.113068	98.074596	99.237377	98.447395	98.543497	98.011156	97.612285
3959.0	99.643829	97.262866	97.003803	97.5818	97.99884	98.106326	98.06712	99.226999	98.438685	98.543088	97.996426	97.613841
3958.0	99.637831	97.257438	97.006986	97.584346	98.001705	98.099916	98.06687	99.224426	98.436774	98.548336	97.992293	97.624474
3957.0	99.64291	97.262632	97.009271	97.5913	98.010615	98.094716	98.071293	99.229027	98.439094	98.554351	97.997934	97.639183
3956.0	99.65216	97.276574	97.012198	97.598073	98.021918	98.091201	98.075522	99.235929	98.441294	98.557496	98.00717	97.652839
3955.0	99.661097	97.295458	97.017961	97.603386	98.032476	98.090877	98.077312	99.240048	98.441752	98.558701	98.015196	97.664069
3954.0	99.670981	97.315607	97.027711	97.609224	98.040854	98.096214	98.079057	99.240123	98.442134	98.562226	98.022171	97.674571
