ν,LD-Alanina No Magnetizada Irradiada Petri,LD-Alanina No Magnetizada  Eppendorf,LD-Alanina Irradiada No Magnetizada Eppendorf,LD-Alanina  No Magnetizada Petri,L-Alanina No Magnetizada Irradiada Petri,L-Alanina No Magnetizada  Eppendorf,L-Alanina Irradiada No Magnetizada Eppendorf,L-Alanina  No Magnetizada Petri,D-Alanina No Magnetizada Irradiada Petri,D-Alanina No Magnetizada Eppendorf,D-Alanina Irradiada No Magnetizada Eppendorf,D-Alanina  No Magnetizada Petri
4000.0,99.688364,98.114037,97.95221,97.015408,97.962166,97.887025,97.801581,99.23412,98.411157,98.408923,97.473233,97.990523
3999.0,99.692507,98.104403,97.949289,97.014781,97.963751,97.89147,97.802273,99.233263,98.414718,98.411087,97.477212,97.990959
3998.0,99.697645,98.100843,97.947823,97.016972,97.971326,97.895921,97.804443,99.233861,98.414634,98.413262,97.494034,97.997919
3997.0,99.701534,98.108526,97.949081,97.022434,97.983458,97.900357,97.810025,99.23521,98.415296,98.41236,97.508355,98.010486
3996.0,99.702275,98.125369,97.953309,97.009981,97.99695,97.906675,97.818102,99.238649,98.41829,98.410318,97.522122,98.024322
3995.0,99.700854,98.144064,97.960032,97.016974,98.00964,97.91467,97.840918,99.244492,98.422744,98.411105,97.530596,98.035813
3994.0,99.701725,98.150293,97.96892,97.025731,98.021804,97.926653,97.845712,99.252665,98.429306,98.418833,97.532762,98.044569
3993.0,99.709676,98.159824,97.978367,97.035523,98.034752,97.940021,97.845348,99.263039,98.441164,98.434438,97.531215,98.05253
3992.0,99.725009,98.166779,97.985247,97.04605,98.047883,97.951896,97.841524,99.27413,98.459461,98.452975,97.529259,98.060418
3991.0,99.742105,98.170756,97.987098,97.057247,98.057638,97.959327,97.836673,99.28257,98.478775,98.466163,97.528249,98.066214
3990.0,99.753495,98.16858,97.984597,97.068225,98.06001,97.960953,97.832884,99.285027,98.489348,98.469003,97.527586,98.066929
3989.0,99.755186,98.158615,97.981094,97.076695,98.054035,97.95764,97.831143,99.280847,98.484589,98.463555,97.526162,98.060748
3988.0,99.74803,98.144471,97.979584,97.079751,98.042284,97.951241,97.831088,99.272508,98.466422,98.45567,97.523427,98.047445
3987.0,99.735144,98.133505,97.980546,97.076088,98.027902,97.942962,97.831508,99.263412,98.443452,98.448825,97.519474,98.028249
3986.0,99.719831,98.13158,97.982419,97.067713,98.012285,97.933343,97.831056,99.255565,98.424654,98.442327,97.514516,98.006525
3985.0,99.70596,98.139025,97.983334,97.059232,97.996264,97.923216,97.828714,99.24923,98.41446,98.434734,97.508561,97.987844
3984.0,99.697849,98.150645,97.982362,97.054684,97.982382,97.913494,97.824189,99.244115,98.411812,98.426919,97.501852,97.977414
3983.0,99.697586,98.15917,97.979781,97.054393,97.974117,97.90395,97.818128,99.240502,98.412364,98.42072,97.495652,97.976372
3982.0,99.70259,98.15918,97.976955,97.054834,97.972583,97.89356,97.811845,99.239246,98.411733,98.41573,97.49226,97.980785
3981.0,99.707169,98.149439,97.975874,97.052173,97.975343,97.882871,97.806827,99.240804,98.408194,98.409457,97.493741,97.984842
3980.0,99.70719,98.133372,97.977952,97.046319,97.979238,97.8752,97.804516,99.244253,98.403389,98.401413,97.500339,97.985667
3979.0,99.702897,98.11775,97.982697,97.040457,97.983427,97.874052,97.806154,99.247035,98.400327,98.395861,97.510245,97.984947
3978.0,99.697371,98.109688,97.987453,97.036262,97.988788,97.879296,97.811919,99.245942,98.400399,98.398914,97.520663,97.986131
3977.0,99.693128,98.112806,97.988762,97.0311,97.995281,97.886665,97.819872,99.239542,98.402367,98.412386,97.529007,97.990961
3976.0,99.690494,98.124691,97.984818,97.021427,98.001268,97.891386,97.826707,99.230478,98.404333,98.431027,97.533798,97.998992
3975.0,99.688445,98.137747,97.976936,97.008061,98.005336,97.892009,97.830474,99.224513,98.406031,98.446464,97.535204,98.009195
3974.0,99.685864,98.14331,97.968617,96.995894,98.007384,97.890693,97.832236,99.22572,98.408408,98.453597,97.534839,98.020092
3973.0,99.681685,98.136816,97.962974,96.988479,98.007624,97.890564,97.834441,99.23207,98.411317,98.45323,97.534583,98.028455
3972.0,99.67501,98.120646,97.960852,96.98503,98.00587,97.893591,97.83792,99.236836,98.413013,98.449375,97.535334,98.030269
3971.0,99.666516,98.102393,97.961078,96.983343,98.00297,97.900693,97.841267,99.234989,98.412634,98.445282,97.53694,98.02467
3970.0,99.659636,98.089857,97.961594,96.983943,98.00232,97.912359,97.842839,99.227994,98.412393,98.442101,97.53877,98.016359
3969.0,99.658898,98.086489,97.960711,96.989535,98.008231,97.927617,97.842635,99.222157,98.416172,98.439862,97.540362,98.012426
3968.0,99.666029,98.090793,97.958415,97.00074,98.021821,97.942417,97.842325,99.222618,98.425846,98.438616,97.541998,98.016108
3967.0,99.678444,98.099314,97.956617,97.013858,98.038892,97.950734,97.843678,99.229845,98.439612,98.438474,97.544699,98.024807
3966.0,99.692029,98.109631,97.957592,97.022803,98.052373,97.948923,97.84695,99.241004,98.453855,98.438936,97.549335,98.033999
3965.0,99.704375,98.120398,97.961561,97.023201,98.05718,97.939281,97.850666,99.252757,98.465809,98.438525,97.555331,98.041493
3964.0,99.713932,98.129531,97.966079,97.015547,98.05284,97.928443,97.853094,99.262149,98.473883,98.43525,97.560623,98.047087
3963.0,99.716983,98.133612,97.96848,97.005057,98.042175,97.92175,97.85422,99.266151,98.476359,98.427749,97.563731,98.04922
3962.0,99.708563,98.129875,97.968879,96.997831,98.028504,97.919142,97.856041,99.26239,98.471576,98.416221,97.565788,98.044156
3961.0,99.68809,98.118999,97.970022,96.996543,98.01463,97.916977,97.860424,99.251311,98.460354,98.40253,97.569416,98.030022
3960.0,99.662808,98.105964,97.974095,96.999636,98.003654,97.91311,97.86691,99.237377,98.447395,98.389796,97.575405,98.011156
3959.0,99.643829,98.097496,97.980721,97.003803,97.99884,97.909263,97.873232,99.226999,98.438685,98.381793,97.58159,97.996426
3958.0,99.637831,98.097914,97.987694,97.006986,98.001705,97.908864,97.877587,99.224426,98.436774,98.381779,97.585075,97.992293
3957.0,99.64291,98.106664,97.993105,97.009271,98.010615,97.913638,97.879657,99.229027,98.439094,98.390242,97.585301,97.997934
3956.0,99.65216,98.119206,97.996811,97.012198,98.021918,97.922546,97.880082,99.235929,98.441294,98.40339,97.584691,98.00717
3955.0,99.661097,98.130611,97.999952,97.017961,98.032476,97.933259,97.879397,99.240048,98.441752,98.415147,97.586157,98.015196
3954.0,99.670981,98.138854,98.003874,97.027711,98.040854,97.943933,97.877769,99.240123,98.442134,98.42185,97.590468,98.022171
3953.0,99.684875,98.145048,98.008956,97.039965,98.046723,97.953652,97.875138,99.239312,98.44417,98.424775,97.595466,98.030372
3952.0,99.701586,98.150884,98.014285,97.050991,98.050118,97.961889,97.871439,99.242123,98.447347,98.427468,97.59776,98.039403
3951.0,99.714515,98.156131,98.018262,97.057717,98.05159,97.968013,97.867188,99.250312,98.450392,98.431111,97.595313,98.045298
3950.0,99.717188,98.159071,98.019224,97.060391,98.052402,97.971299,97.8635,99.261711,98.454017,98.433318,97.588669,98.044734
3949.0,99.709681,98.158914,98.016815,97.061168,98.053876,97.971389,97.861599,99.272214,98.460688,98.431512,97.580866,98.038533
3948.0,99.698957,98.157032,98.012981,97.061207,98.056591,97.968885,97.862305,99.278964,98.471227,98.426859,97.575808,98.03082
3947.0,99.692295,98.155567,98.011305,97.060162,98.060494,97.965583,97.86613,99.281925,98.482503,98.423775,97.576254,98.025521
3946.0,99.691012,98.155407,98.014362,97.057854,98.065672,97.96373,97.873338,99.282696,98.489275,98.425407,97.582496,98.024257
3945.0,99.690895,98.155999,98.020958,97.055372,98.072724,97.964789,97.883159,99.282344,98.488452,98.430253,97.59201,98.026659
3944.0,99.688521,98.157026,98.026351,97.054744,98.082012,97.968547,97.893195,99.280764,98.482046,98.433641,97.600526,98.031782
3943.0,99.686026,98.160073,98.026252,97.057708,98.092004,97.972943,97.900077,99.278306,98.47593,98.43229,97.604556,98.039651
3942.0,99.688206,98.167813,98.021563,97.063407,98.098504,97.975113,97.901744,99.276123,98.475053,98.427028,97.604109,98.050399
3941.0,99.695109,98.180518,98.017553,97.068178,98.096814,97.973582,97.89918,99.273908,98.479325,98.421011,97.601979,98.0619
3940.0,99.700075,98.194131,98.017743,97.068746,98.085685,97.969372,97.895089,99.269236,98.484206,98.416153,97.600433,98.070174
