ν,LD-Alanina No Magnetizada Irradiada Petri,LD-Alanina No Magnetizada  Eppendorf,LD-Alanina Magnetizada Irradiada Petri,LD-Alanina Magnetizada  Eppendorf,LD-Alanina Irradiada No Magnetizada Eppendorf,LD-Alanina Irradiada Magnetizada Eppendorf,LD-Alanina  No Magnetizada Petri,LD-Alanina  Magnetizada Petri,L-Alanina No Magnetizada Irradiada Petri,L-Alanina No Magnetizada  Eppendorf,L-Alanina Magnetizada Petri,L-Alanina Magnetizada Irradiada Petri,L-Alanina Magnetizada Eppendorf,L-Alanina Irradiada No Magnetizada Eppendorf,L-Alanina Irradiada  Magnetizada Eppendorf,L-Alanina  No Magnetizada Petri,D-Alanina No Magnetizada Irradiada Petri,D-Alanina No Magnetizada Eppendorf,D-Alanina Magnetizada Irradiada Petri,D-Alanina Magnetizada Eppendorf,D-Alanina Irradiada No Magnetizada Eppendorf,D-Alanina Irradiada Magnetizada Eppendorf,D-Alanina  No Magnetizada Petri,D-Alanina  Magnetizada Petri
4000.0,99.688364,98.114037,97.297123,97.897695,97.95221,97.886362,97.015408,97.574071,97.962166,97.887025,98.028784,98.110853,98.393303,97.801581,98.334007,99.23412,98.411157,98.408923,98.567855,98.148994,97.473233,98.550413,97.990523,97.601493
3999.0,99.692507,98.104403,97.296259,97.897299,97.949289,97.883691,97.014781,97.571765,97.963751,97.89147,98.042392,98.108354,98.390635,97.802273,98.330237,99.233263,98.414718,98.411087,98.562149,98.146843,97.477212,98.54961,97.990959,97.587249
3998.0,99.697645,98.100843,97.292809,97.896926,97.947823,97.878162,97.016972,97.580255,97.971326,97.895921,98.053009,98.105029,98.38798,97.804443,98.329317,99.233861,98.414634,98.413262,98.553398,98.145854,97.494034,98.550155,97.997919,97.577714
3997.0,99.701534,98.108526,97.290313,97.896602,97.949081,97.874121,97.022434,97.598609,97.983458,97.900357,98.059642,98.104588,98.385284,97.810025,98.334368,99.23521,98.415296,98.41236,98.548684,98.14907,97.508355,98.55471,98.010486,97.574247
3996.0,99.702275,98.125369,97.290602,97.898582,97.953309,97.8875,97.009981,97.619458,97.99695,97.906675,98.0638,98.107548,98.38884,97.818102,98.344301,99.238649,98.41829,98.410318,98.550744,98.152702,97.522122,98.562372,98.024322,97.578491
3995.0,99.700854,98.144064,97.294149,97.905505,97.960032,97.894477,97.016974,97.634678,98.00964,97.91467,98.069612,98.112841,98.396834,97.840918,98.355201,99.244492,98.422744,98.411105,98.558951,98.160412,97.530596,98.570821,98.035813,97.588548
3994.0,99.701725,98.150293,97.301238,97.917721,97.96892,97.90305,97.025731,97.619071,98.021804,97.926653,98.080915,98.120295,98.406501,97.845712,98.369354,99.252665,98.429306,98.418833,98.571426,98.167442,97.532762,98.577427,98.044569,97.600752
3993.0,99.709676,98.159824,97.311883,97.932923,97.978367,97.910188,97.035523,97.62401,98.034752,97.940021,98.09854,98.13001,98.415978,97.845348,98.374262,99.263039,98.441164,98.434438,98.58573,98.175088,97.531215,98.58006,98.05253,97.611757
3992.0,99.725009,98.166779,97.32509,97.948007,97.985247,97.913386,97.04605,97.630981,98.047883,97.951896,98.11908,98.13991,98.423563,97.841524,98.374752,99.27413,98.459461,98.452975,98.598255,98.185767,97.529259,98.578234,98.060418,97.619251
3991.0,99.742105,98.170756,97.339059,97.961644,97.987098,97.911926,97.057247,97.638901,98.057638,97.959327,98.136838,98.145658,98.426679,97.836673,98.370468,99.28257,98.478775,98.466163,98.605004,98.198523,97.528249,98.57383,98.066214,97.622613
